codigo,modalidade,grau,curso,uf,municipio,enade,cpc,cc,code_ies,nome_da_ies,mantenedora
1214442,Presencial,Tecnológico,Análise e desenvolvimento de sistemas,SP,Boituva,3,3,4,1810,"(1810) INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO - IFSP","(14163) INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SAO PAULO"
121940,Presencial,Tecnológico,Análise e desenvolvimento de sistemas,SP,Bragança Paulista,4,4,3,1810,"(1810) INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO - IFSP","(14163) INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SAO PAULO"
1129074,Presencial,Tecnológico,Análise e desenvolvimento de sistemas,SP,Bragança Paulista,-,-,-,1810,"(1810) INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO - IFSP","(14163) INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SAO PAULO"
5001091,Presencial,Tecnológico,Análise e desenvolvimento de sistemas,SP,Campinas,4,4,4,1810,"(1810) INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO - IFSP","(14163) INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SAO PAULO"
1166436,Presencial,Tecnológico,Análise e desenvolvimento de sistemas,SP,Campos do Jordão,4,4,4,1810,"(1810) INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO - IFSP","(14163) INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SAO PAULO"
1188377,Presencial,Tecnológico,Análise e desenvolvimento de sistemas,SP,Capivari,4,4,4,1810,"(1810) INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO - IFSP","(14163) INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SAO PAULO"
1128377,Presencial,Tecnológico,Análise e desenvolvimento de sistemas,SP,Caraguatatuba,4,3,4,1810,"(1810) INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO - IFSP","(14163) INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SAO PAULO"
1168577,Presencial,Tecnológico,Análise e desenvolvimento de sistemas,SP,Catanduva,4,4,4,1810,"(1810) INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO - IFSP","(14163) INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SAO PAULO"
1260313,Presencial,Tecnológico,Análise e desenvolvimento de sistemas,SP,Cubatão,3,3,3,1810,"(1810) INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO - IFSP","(14163) INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SAO PAULO"
122124,Presencial,Tecnológico,Análise e desenvolvimento de sistemas,SP,Guarulhos,5,4,3,1810,"(1810) INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO - IFSP","(14163) INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SAO PAULO"
1188348,Presencial,Tecnológico,Análise e desenvolvimento de sistemas,SP,Hortolândia,4,4,4,1810,"(1810) INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO - IFSP","(14163) INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SAO PAULO"
1420636,Presencial,Tecnológico,Análise e desenvolvimento de sistemas,SP,Jacareí,3,4,5,1810,"(1810) INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO - IFSP","(14163) INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SAO PAULO"
1181037,Presencial,Tecnológico,Análise e desenvolvimento de sistemas,SP,Piracicaba,3,3,4,1810,"(1810) INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO - IFSP","(14163) INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SAO PAULO"
1168576,Presencial,Tecnológico,Análise e desenvolvimento de sistemas,SP,Presidente Epitácio,-,-,-,1810,"(1810) INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO - IFSP","(14163) INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SAO PAULO"
123850,Presencial,Tecnológico,Análise e desenvolvimento de sistemas,SP,Salto,4,4,3,1810,"(1810) INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO - IFSP","(14163) INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SAO PAULO"
121824,Presencial,Tecnológico,Análise e desenvolvimento de sistemas,SP,São Carlos,4,4,3,1810,"(1810) INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO - IFSP","(14163) INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SAO PAULO"
72017,Presencial,Tecnológico,Análise e desenvolvimento de sistemas,SP,São Paulo,4,3,3,1810,"(1810) INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO - IFSP","(14163) INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SAO PAULO"
1420648,Presencial,Tecnológico,Análise e desenvolvimento de sistemas,SP,São Paulo,4,4,5,1810,"(1810) INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO - IFSP","(14163) INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SAO PAULO"
1260286,Presencial,Tecnológico,Análise e desenvolvimento de sistemas,SP,Votuporanga,3,4,4,1810,"(1810) INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO - IFSP","(14163) INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SAO PAULO"
1260216,Presencial,Bacharelado,Arquitetura e urbanismo,SP,São Paulo,5,4,4,1810,"(1810) INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO - IFSP","(14163) INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SAO PAULO"
72015,Presencial,Tecnológico,Automação industrial,SP,Cubatão,4,3,4,1810,"(1810) INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO - IFSP","(14163) INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SAO PAULO"
1129075,Presencial,Tecnológico,Automação industrial,SP,Guarulhos,5,-,4,1810,"(1810) INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO - IFSP","(14163) INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SAO PAULO"
1188340,Presencial,Tecnológico,Automação industrial,SP,Piracicaba,-,-,4,1810,"(1810) INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO - IFSP","(14163) INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SAO PAULO"
63584,Presencial,Tecnológico,Automação industrial,SP,São Paulo,5,4,4,1810,"(1810) INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO - IFSP","(14163) INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SAO PAULO"
113200,Presencial,Tecnológico,Automação industrial,SP,Sertãozinho,4,-,2,1810,"(1810) INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO - IFSP","(14163) INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SAO PAULO"
1117546,Presencial,Tecnológico,Biocombustíveis,SP,Matão,-,-,3,1810,"(1810) INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO - IFSP","(14163) INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SAO PAULO"
1129077,Presencial,Tecnológico,Biocombustíveis,SP,Matão,-,-,5,1810,"(1810) INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO - IFSP","(14163) INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SAO PAULO"
1420608,Presencial,Bacharelado,Ciência da computação,SP,Presidente Epitácio,4,5,5,1810,"(1810) INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO - IFSP","(14163) INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SAO PAULO"
1457004,Presencial,Bacharelado,Ciência da computação,SP,Salto,-,-,4,1810,"(1810) INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO - IFSP","(14163) INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SAO PAULO"
